security_id,date_key,sector_id,closing_price,volume,return_daily,return_daily_log,return_daily_cumulative,return_daily_log_cumulative,volatility,sharpe_ratio,vasicek_ratio,mc_expected_loss_gross,risk_contribution,tail_risk_contribution,rorac
1,3/9/2017 12:00:00 AM,2010,73.1,1745870,,,,,,,,,,,
1,3/8/2017 12:00:00 AM,2010,72.95,2038852,,,,,,,,,,,
1,3/7/2017 12:00:00 AM,2010,73.62,1261248,,,,,,,,,,,
1,3/6/2017 12:00:00 AM,2010,73.82,1197874,,,,,,,,,,,
1,3/3/2017 12:00:00 AM,2010,74.22,1014915,,,,,,,,,,,
1,3/2/2017 12:00:00 AM,2010,74.13,1248796,,,,,,,,,,,
1,3/1/2017 12:00:00 AM,2010,74.65,1677264,,,,,,,,,,,
1,2/28/2017 12:00:00 AM,2010,73.48,1825566,,,,,,,,,,,
1,2/27/2017 12:00:00 AM,2010,73.47,868775,,,,,,,,,,,
1,2/24/2017 12:00:00 AM,2010,73.51,1908356,,,,,,,,,,,
1,2/23/2017 12:00:00 AM,2010,73.54,2203063,,,,,,,,,,,
1,2/22/2017 12:00:00 AM,2010,72.93,1502901,,,,,,,,,,,
1,2/21/2017 12:00:00 AM,2010,72.93,1729613,,,,,,,,,,,
1,2/17/2017 12:00:00 AM,2010,73.52,2029848,,,,,,,,,,,
1,2/16/2017 12:00:00 AM,2010,73.26,2173657,,,,,,,,,,,
1,2/15/2017 12:00:00 AM,2010,72.63,1609015,,,,,,,,,,,
1,2/14/2017 12:00:00 AM,2010,71.94,1492129,,,,,,,,,,,
1,2/13/2017 12:00:00 AM,2010,71.48,1414345,,,,,,,,,,,
1,2/10/2017 12:00:00 AM,2010,71.08,2866507,,,,,,,,,,,
1,2/9/2017 12:00:00 AM,2010,70.58,1641454,,,,,,,,,,,
1,2/8/2017 12:00:00 AM,2010,70.41,2278201,,,,,,,,,,,
1,2/7/2017 12:00:00 AM,2010,69.77,1127867,,,,,,,,,,,
1,2/6/2017 12:00:00 AM,2010,69.91,1654894,,,,,,,,,,,
1,2/3/2017 12:00:00 AM,2010,70.52,2986389,,,,,,,,,,,
1,2/2/2017 12:00:00 AM,2010,69.55,2931520,,,,,,,,,,,
1,2/1/2017 12:00:00 AM,2010,67.41,2126318,,,,,,,,,,,
1,1/31/2017 12:00:00 AM,2010,68.02,2191438,,,,,,,,,,,
1,1/30/2017 12:00:00 AM,2010,68.34,1874926,,,,,,,,,,,
1,1/27/2017 12:00:00 AM,2010,68.85,1956768,,,,,,,,,,,
1,1/26/2017 12:00:00 AM,2010,68.75,1418142,,,,,,,,,,,
1,1/25/2017 12:00:00 AM,2010,68.66,2163994,,,,,,,,,,,
1,1/24/2017 12:00:00 AM,2010,68.23,1813272,,,,,,,,,,,
1,1/23/2017 12:00:00 AM,2010,67.56,1235073,,,,,,,,,,,
1,1/20/2017 12:00:00 AM,2010,67.99,2107167,,,,,,,,,,,
1,1/19/2017 12:00:00 AM,2010,67.45,1577612,,,,,,,,,,,
1,1/18/2017 12:00:00 AM,2010,68.17,1750220,,,,,,,,,,,
1,1/17/2017 12:00:00 AM,2010,67.64,1384844,,,,,,,,,,,
1,1/13/2017 12:00:00 AM,2010,67.73,1221958,,,,,,,,,,,
1,1/12/2017 12:00:00 AM,2010,67.58,2110344,,,,,,,,,,,
1,1/11/2017 12:00:00 AM,2010,67.44,2162076,,,,,,,,,,,
